Behavioral issues (anxiety, depression)	HP:0000708,HP:0000739,HP:0000716
Shield chest	HP:0000914
Short stature	HP:0004322
Short stature (birth length below average)	HP:0004322
Skeletal anomalies (joint hypermobility, clinodactyly)	HP:0000924,HP:0001382,HP:0030084
Skeletal anomalies (joint hypermobility, limb anomalies)	HP:0000924,HP:0001382,HP:0040064
Skeletal anomalies (joint pain, osteopenia, osteoarthritis)	HP:0000924,HP:0002829,HP:0000938,HP:0002758
Skeletal anomalies (pectus deformities, joint laxity)	HP:0000924,HP:0000766,HP:0001382
Skeletal anomalies (pectus deformities, limb anomalies)	HP:0000924,HP:0000766,HP:0040064
Skeletal anomalies (pectus deformities, scoliosis, joint pain)	HP:0000924,HP:0000766,HP:0002650,HP:0002829
Skeletal issues (osteopenia, osteoporosis, joint pain)	HP:0000924,HP:0000938,HP:0000939,HP:0002829
Skin findings (age-related changes compounded)	HP:0000951 
Skin findings (keratosis pilaris, multiple nevi, lentigines)	HP:0000951,HP:0032152,HP:0001054,HP:0001003
Skin findings (multiple nevi, café-au-lait spots)	HP:0000951,HP:0001054,HP:0000957
Skin findings (multiple nevi, café-au-lait spots, lentigines)	HP:0000951,HP:0001054,HP:0000957,HP:0001003
Skin findings (multiple nevi, keratosis pilaris, lentigines)	HP:0000951,HP:0001054,HP:0032152,HP:0001003
Skin findings (multiple nevi, lentigines)	HP:0000951,HP:0001054,HP:0001003
Skin findings (wrinkling, loss of elasticity, multiple nevi)	HP:0000951,HP:0001054
Supernumerary nipples	HP:0002558
Umbilical hernia	HP:0001537
Vision problems (cataracts, glaucoma)	HP:0000504,HP:0000518,HP:0000501
Vision problems (cataracts, glaucoma, age-related macular degeneration)	HP:0000504,HP:0000518,HP:0000501,HP:0000608
Vision problems (cataracts, glaucoma, macular degeneration)	HP:0000504,HP:0000518,HP:0000501,HP:0000608
Vision problems (refractive errors, strabismus)	HP:0000504,HP:0000486
Vision problems (strabismus, nystagmus, refractive errors)	HP:0000504,HP:0000486,HP:0000639
Vision problems (strabismus, refractive errors)	HP:0000504,HP:0000486
Vision problems (strabismus, refractive errors, nystagmus)	HP:0000504,HP:0000486,HP:0000639
Webbed neck	HP:0000465
Wide-spaced nipples	HP:0006610
